,FragmentsBitId,AvgNumNonHydrogenAtoms,StdNumNonHydrogenAtoms,countStrong,p-valueStrong,countWeak,p-valueWeak,countVeryWeak,p-valueVeryWeak,countLow,p-valueLow,countCyto,p-valueCyto,countNE,p-valueNE,hStrongBH,p-valueStrongBH,hWeakBH,p-valueWeakBH,hVeryWeakBH,p-valueVeryWeakBH,hLowBH,p-valueLowBH,hCytoBH,p-valueCytoBH,hNEBH,p-valueNEBH
0,0,8.772727272727273,2.1091105014763962,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.2679127091254413,1.0,0.30529951166946684,19.0,0.5392051902248247,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
1,1,7.846153846153846,2.084601192117455,4.0,0.08651973071054501,1.0,0.8792920931877913,4.0,0.1970656473717427,4.0,0.3384208553995374,3.0,0.08717933022974104,48.0,0.9828213279617862,False,0.7760522669658415,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
2,2,10.620689655172415,2.2501156001483382,1.0,0.5381711569103602,0.0,1.0,2.0,0.27983821810563697,2.0,0.3871810962816781,0.0,1.0,24.0,0.702444591652402,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
3,3,10.285714285714286,1.4846149779161804,0.0,1.0,1.0,0.20567255857460157,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.6975327379730927,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
4,4,9.090909090909092,2.2342192231717286,0.0,1.0,0.0,1.0,1.0,0.33149969009400393,0.0,1.0,0.0,1.0,10.0,0.4663795994988261,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
5,5,4.571428571428571,1.7969487870584004,2.0,0.9618276850856892,4.0,0.8665734045631113,11.0,0.07751539682221782,9.0,0.504468788288124,5.0,0.19799787388610735,158.0,0.654261554859974,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
6,6,9.5,3.1339158526400435,0.0,1.0,0.0,1.0,1.0,0.40110418193557534,3.0,0.02392579695769155,0.0,1.0,10.0,0.945023247254247,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
7,7,10.346153846153847,1.6277003053460635,1.0,0.7221201981723104,2.0,0.46321244070759404,2.0,0.5190975204244441,0.0,1.0,1.0,0.5490242804387512,42.0,0.3558919682611999,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
8,8,11.551724137931034,1.6522963518221983,2.0,0.17580768033823477,1.0,0.6153906503028016,1.0,0.6546398186476885,2.0,0.3871810962816781,1.0,0.3814847539108645,22.0,0.9277032869297716,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
9,9,10.352941176470589,1.5316725372107691,3.0,0.05865265458463,2.0,0.30150528860101883,3.0,0.1215268109576616,1.0,0.7984847946810067,0.0,1.0,25.0,0.9686561957636737,False,0.6776904744108448,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
10,10,8.0,2.3204774044612857,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,0.10867478377705368,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
11,11,7.4523809523809526,2.2168443998103524,1.0,0.6737154084690147,1.0,0.7497354304336363,0.0,1.0,2.0,0.581111497116345,3.0,0.03099590988644226,35.0,0.6662646059617696,False,1.0,False,1.0,False,1.0,False,1.0,False,0.8255978503914314,False,0.9999999986614704
12,12,10.7,1.6155494421403513,1.0,0.4128280110662763,0.0,1.0,0.0,1.0,1.0,0.6098714635834486,0.0,1.0,18.0,0.372277812970285,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
13,13,3.3232104121475055,1.353746026759639,16.0,0.14596134336532277,20.0,0.10317715702234197,20.0,0.2100426765457426,28.0,0.07132865352936002,5.0,0.8795200138791935,369.0,0.9893047674652162,False,0.9913504595911397,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
14,14,6.654320987654321,1.7579483961805003,15.0,1.9916662987209593e-05,8.0,0.15374722289752207,11.0,0.03108867717010758,3.0,0.9817420925942248,10.0,0.00030001014577171585,115.0,0.9999956828275185,True,0.006094110890196049,False,1.0,False,1.0,False,1.0,False,0.09102530052451467,False,0.9999999986614704
15,15,10.0,2.2188007849009166,1.0,0.2924175301505072,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,12.0,0.37195845834697083,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
16,16,8.88,3.4368978260441008,2.0,0.5901403958133584,4.0,0.22394338006286318,4.0,0.2829119019964277,0.0,1.0,0.0,1.0,65.0,0.35518519647293434,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
17,17,9.458333333333334,2.2356797375493853,1.0,0.47224260488976155,1.0,0.5463732620276465,2.0,0.2126025682575812,0.0,1.0,1.0,0.32796861611122097,19.0,0.8376386840586652,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
18,18,9.8125,2.242173889331512,0.0,1.0,0.0,1.0,1.0,0.44344816713625734,0.0,1.0,0.0,1.0,15.0,0.25921162955671984,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
19,19,9.333333333333334,1.5634719199411433,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,0.2152393696772596,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
20,20,9.093023255813954,3.2192296744925772,0.0,1.0,2.0,0.4076158433747233,1.0,0.7936340694589483,5.0,0.04561070198190445,2.0,0.15633650068100646,33.0,0.9367219760226506,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
21,21,8.954545454545455,2.704831917602153,2.0,0.11232574032380604,2.0,0.15794013386085398,1.0,0.5534085099422402,0.0,1.0,1.0,0.30529951166946684,16.0,0.9547273863013503,False,0.8797059892281254,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
22,22,9.272727272727273,2.631657241114569,0.0,1.0,2.0,0.15794013386085398,1.0,0.5534085099422402,1.0,0.6449743907183214,0.0,1.0,18.0,0.7448361959152515,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
23,23,10.058823529411764,2.796438664471697,0.0,1.0,3.0,0.01622925743575702,1.0,0.46348835713900194,0.0,1.0,0.0,1.0,13.0,0.8857567302612888,False,1.0,False,0.7256022979955542,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
24,24,9.909090909090908,2.3141676475196102,1.0,0.25371018896206493,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,0.4663795994988261,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
25,25,6.268518518518518,1.1988148582962588,2.0,0.7810158383241206,3.0,0.6846759043505514,3.0,0.7513936786570313,3.0,0.879726579354722,6.0,0.008382821645184278,91.0,0.5712780892788393,False,1.0,False,1.0,False,1.0,False,1.0,False,0.506747650757712,False,0.9999999986614704
26,26,6.571428571428571,2.821202522590214,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,0.30286265864686257,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
27,27,7.5,3.438230441873926,0.0,1.0,1.0,0.36919823564401233,0.0,1.0,3.0,0.02392579695769155,0.0,1.0,10.0,0.945023247254247,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
28,28,6.638888888888889,3.5990182131750084,1.0,0.616934910918675,1.0,0.6948047145028337,2.0,0.3728996582538721,3.0,0.22784655993156722,1.0,0.4493826587773644,28.0,0.9007628607374734,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
29,29,9.333333333333334,2.8087165910587863,2.0,0.17580768033823477,0.0,1.0,1.0,0.6546398186476885,1.0,0.7448222885745259,1.0,0.3814847539108645,24.0,0.702444591652402,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
30,30,9.633333333333333,2.0572365498945966,1.0,0.5503391024862866,2.0,0.253063309341756,2.0,0.2933041438780077,0.0,1.0,2.0,0.0861159462731384,23.0,0.9143531208088148,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
31,31,9.75,3.191786333700926,1.0,0.34676677873490586,1.0,0.40942990616284697,1.0,0.44344816713625734,0.0,1.0,0.0,1.0,13.0,0.7658314184055317,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
32,32,7.172839506172839,0.7823693589014746,9.0,0.45680144083667396,4.0,0.9933101889761773,10.0,0.7139048309273953,13.0,0.7089638292444432,8.0,0.1499626601055052,274.0,0.19961424991126497,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
33,33,11.090909090909092,4.521756405616687,0.0,1.0,0.0,1.0,1.0,0.4828098314282979,0.0,1.0,1.0,0.2576637439229351,16.0,0.447194222785689,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
34,34,7.790697674418604,1.8993039059623644,4.0,0.025496229349454416,1.0,0.7578811348897011,0.0,1.0,2.0,0.5940427045197925,2.0,0.15633650068100646,34.0,0.8748853776285428,False,0.48573281588541994,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
35,35,9.692307692307692,1.135755620017954,0.0,1.0,0.0,1.0,1.0,0.3787441676615472,2.0,0.11745830011026549,0.0,1.0,10.0,0.8665032968013096,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
36,36,10.5,2.29128784747792,1.0,0.4433229219003955,2.0,0.15794013386085398,0.0,1.0,3.0,0.07743185493217879,0.0,1.0,16.0,0.9547273863013503,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
37,37,8.625,2.9973947020704497,1.0,0.34676677873490586,3.0,0.013686125006249212,1.0,0.44344816713625734,0.0,1.0,0.0,1.0,11.0,0.971364097068522,False,1.0,False,0.6920786175999601,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
38,38,10.782608695652174,2.7655728510937827,1.0,0.4579745094191434,0.0,1.0,3.0,0.04772438919273311,1.0,0.6613266993243763,0.0,1.0,18.0,0.8608530432678732,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
39,39,6.878048780487805,1.977866822703736,1.0,0.6648697387062895,1.0,0.7413169818840464,0.0,1.0,1.0,0.8552472773008029,1.0,0.49330645822606856,37.0,0.2073452744345145,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
40,40,9.25,1.3919410907075054,1.0,0.19166745654157943,0.0,1.0,1.0,0.2538430850380309,0.0,1.0,1.0,0.12394281509592125,5.0,0.975191309765411,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
41,41,4.867692307692308,2.229391617066979,4.0,0.96971101418069,10.0,0.5754147258075776,9.0,0.8090809628546092,15.0,0.4855871434787797,7.0,0.26058953404394564,271.0,0.26366711484187577,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
42,42,8.0,3.1896571984271698,0.0,1.0,1.0,0.5311565357801141,2.0,0.19931428527822623,0.0,1.0,1.0,0.31672721522862834,19.0,0.7126092938691279,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
43,43,10.258064516129032,3.202496424771834,0.0,1.0,1.0,0.6399746832006382,1.0,0.679111794023517,0.0,1.0,0.0,1.0,29.0,0.1149373268957717,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
44,44,7.875,2.2043990110685496,1.0,0.19166745654157943,1.0,0.23139160584317411,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.88320787377198,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
45,45,8.393939393939394,1.9453034964489742,5.0,0.028950272874426298,2.0,0.6353433410175553,3.0,0.4248691015558489,3.0,0.5899679107285873,5.0,0.004368429192610751,48.0,0.9951511213190564,False,0.5057955499675202,False,1.0,False,1.0,False,1.0,False,0.3976241327318586,False,0.9999999986614704
46,46,8.48,3.0215227948834014,2.0,0.13877256196923848,4.0,0.007892790302015295,1.0,0.5999814873113367,2.0,0.3196885161453619,0.0,1.0,16.0,0.997052366043138,False,0.9708153950913763,False,0.616779597474647,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
47,47,10.264705882352942,3.4582282400896607,0.0,1.0,0.0,1.0,5.0,0.005977431768541171,1.0,0.7887381421583691,0.0,1.0,27.0,0.7481035171766239,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
48,48,9.238095238095237,1.9494751895674969,1.0,0.42827759546296273,2.0,0.14655133874500859,1.0,0.5367141483629438,0.0,1.0,0.0,1.0,17.0,0.7760984725981767,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
49,49,9.0,2.4308621740219887,0.0,1.0,1.0,0.4991821801023212,0.0,1.0,1.0,0.627835223367226,2.0,0.045682211307696494,17.0,0.7760984725981767,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9571065857612524,False,0.9999999986614704
50,50,9.26086956521739,1.72494212390238,0.0,1.0,0.0,1.0,1.0,0.5695037019726654,4.0,0.019321948762381504,0.0,1.0,18.0,0.8608530432678732,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
51,51,8.642857142857142,1.3420210162897095,1.0,0.31101587463779706,1.0,0.36919823564401233,0.0,1.0,0.0,1.0,0.0,1.0,12.0,0.6199075102892739,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
52,52,8.434782608695652,1.9521690713603173,0.0,1.0,4.0,0.0603863057493823,1.0,0.8152203522162549,1.0,0.8857377405413587,1.0,0.5337556896405391,39.0,0.5645137583492629,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
53,53,9.130434782608695,2.8787731056081474,0.0,1.0,0.0,1.0,4.0,0.00713063039623593,1.0,0.6449743907183214,0.0,1.0,17.0,0.8823902133383852,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
54,54,8.066666666666666,2.5940101944458296,2.0,0.18530073548899476,1.0,0.6278846965480981,0.0,1.0,3.0,0.15707004172299016,0.0,1.0,24.0,0.8204548231345634,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
55,55,9.428571428571429,1.178030178747903,1.0,0.16986749827483497,0.0,1.0,1.0,0.22601088932569294,0.0,1.0,0.0,1.0,5.0,0.9177016622685888,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
